iteration,max_pixel_error,pixel_error,error
45000, 10, 102, 0.07153043971830328
45500, 11, 112, 0.08021446916753085
46000, 12, 112, 0.07377860711883548
46500, 12, 115, 0.07027040146663943
47000, 11, 105, 0.07124234735955334
47500, 10, 107, 0.07038842437811811
48000, 12, 134, 0.06680164554981517
48500, 10, 118, 0.08259899429519027
49000, 9, 99, 0.0697401682977334
49500, 9, 100, 0.06652224632349069
50000, 10, 114, 0.07099650787535369
50500, 10, 112, 0.06960788820028689
51000, 12, 121, 0.07553066040046075
51500, 11, 116, 0.09892238796479848
52000, 10, 120, 0.07384491508179217
52500, 15, 133, 0.07587880273709582
53000, 9, 98, 0.06677528279519945
53500, 12, 148, 0.09855741311363368
54000, 12, 155, 0.08791674936147832
54500, 10, 133, 0.12208820906284701
55000, 13, 143, 0.09548978487859475
55500, 12, 147, 0.08346238800737883
56000, 14, 169, 0.0807960726038276
56500, 11, 119, 0.0827205115905635
57000, 11, 112, 0.07371917462791168
57500, 11, 107, 0.08270605092454582
58000, 12, 118, 0.07480162864817291
58500, 13, 124, 0.11310742473168195
59000, 11, 115, 0.0715283858046604
59500, 11, 104, 0.07021729814948403
60000, 12, 133, 0.09053954934194183
60500, 12, 120, 0.07599760579605583
61000, 10, 99, 0.07066650638773504
61500, 10, 95, 0.07048491968007303
62000, 9, 99, 0.07521026994818222
62500, 10, 107, 0.07227441148621275
63000, 10, 101, 0.07169290333536522
63500, 10, 104, 0.07392842702415507
64000, 10, 104, 0.08085884104812302
64500, 13, 119, 0.09008979357527913
65000, 9, 111, 0.07383000772138461
65500, 15, 161, 0.08611445655509
66000, 10, 100, 0.06947727719629612
66500, 9, 90, 0.07592076306543645
67000, 10, 90, 0.07248304935859132
67500, 10, 85, 0.0733146582002806
68000, 9, 100, 0.06504777230309652
68500, 12, 120, 0.0656211588900977
69000, 8, 78, 0.06645640764747932
69500, 9, 79, 0.06098478982246794
70000, 8, 72, 0.10446751085930497
70500, 8, 76, 0.05846663988744045
71000, 9, 75, 0.0577126513680575
71500, 10, 75, 0.05893976636678698
72000, 8, 69, 0.05620858384918887
72500, 8, 63, 0.06240031976637288
73000, 8, 83, 0.06767627965700339
73500, 9, 63, 0.05249924800695504
74000, 8, 58, 0.05262627100935125
74500, 8, 66, 0.06520027944464052
75000, 11, 83, 0.06024883837829997
75500, 9, 68, 0.05903212957584516
76000, 10, 73, 0.06127628139314071
76500, 8, 57, 0.05871104300728037
77000, 8, 79, 0.0622558893218409
77500, 9, 56, 0.05156699100600234
78000, 9, 61, 0.05068521308156234
78500, 14, 118, 0.0585318856291814
79000, 8, 58, 0.04851233302802951
79500, 13, 99, 0.06586645551782748
80000, 8, 64, 0.053569849781472785
80500, 10, 97, 0.057619207671820494
81000, 8, 62, 0.052822985374767054
81500, 8, 66, 0.05128719391519387
82000, 8, 69, 0.05013785386791044
82500, 7, 69, 0.058210809379159185
83000, 11, 98, 0.05460576873284632
83500, 8, 70, 0.059804644470156224
84000, 8, 63, 0.04859132250940533
84500, 9, 103, 0.06892885012081311
85000, 10, 73, 0.06833916777091764
85500, 8, 62, 0.05172340241257576
86000, 8, 61, 0.053335655206035185
86500, 9, 102, 0.09156555778133983
87000, 8, 60, 0.04853759247594284
87500, 10, 71, 0.05078943492661606
88000, 8, 61, 0.04899339328950257
88500, 8, 63, 0.047303250446347665
89000, 8, 64, 0.050513578506453716
89500, 8, 64, 0.04683105802539243
90000, 8, 59, 0.04673473694076671
90500, 8, 63, 0.05197841494223609
91000, 8, 59, 0.046070528799703074
91500, 8, 67, 0.057493198751669056
92000, 8, 67, 0.04614705973119679
92500, 8, 57, 0.04790302353640845
93000, 8, 56, 0.045711803695923765
93500, 8, 61, 0.05619176232673937
94000, 12, 79, 0.060743413771692345
94500, 8, 57, 0.04748409042102473
95000, 8, 63, 0.05370522191177191
95500, 8, 58, 0.04566080607127391
96000, 8, 57, 0.052061539712927186
96500, 9, 63, 0.05289213557329015
97000, 8, 64, 0.04808488920721152
97500, 8, 61, 0.047515959058613104
98000, 11, 76, 0.04544272872223319
98500, 10, 69, 0.050038535717744595
99000, 7, 55, 0.0452854216842979
99500, 7, 54, 0.04566539378799676
100000, 8, 59, 0.046902390714815466
100500, 8, 63, 0.055557277727177674
101000, 8, 56, 0.044278174725464615
101500, 7, 55, 0.04699701548752574
102000, 8, 56, 0.04653740263165624
102500, 8, 59, 0.05068825856093376
103000, 13, 73, 0.04390040150514015
103500, 7, 56, 0.044249570813004305
104000, 8, 56, 0.04416889876369149
104500, 11, 70, 0.04344803810776343
105000, 7, 59, 0.0497781592191734
105500, 9, 68, 0.07560369381470478
106000, 9, 84, 0.049545845471997106
106500, 7, 56, 0.047393326401798753
107000, 7, 56, 0.04664061324330796
107500, 7, 55, 0.04288262051647106
108000, 7, 55, 0.04346199470571869
108500, 8, 56, 0.04487752731605765
109000, 7, 55, 0.04366685061631866
109500, 7, 55, 0.09708983271712296
110000, 9, 57, 0.048633335383937916
110500, 8, 65, 0.0491847870580987
111000, 9, 58, 0.04529543368144276
111500, 7, 55, 0.04251907437398748
112000, 8, 57, 0.04212631075682311
112500, 7, 56, 0.042432177327872876
113000, 7, 54, 0.04315536989044588
113500, 8, 55, 0.041887561807243706
114000, 8, 69, 0.050359918506946655
114500, 8, 71, 0.049735014754333964
115000, 8, 76, 0.04962581136234671
115500, 7, 76, 0.04931487214587908
116000, 7, 72, 0.05637377953061659
116500, 8, 78, 0.05465377913166425
117000, 8, 73, 0.053685515391112056
117500, 7, 70, 0.052758172231324396
118000, 7, 68, 0.05102679714650226
118500, 8, 67, 0.04970981725634931
119000, 8, 68, 0.04828496325063595
119500, 10, 73, 0.04950132036870934
120000, 8, 60, 0.047965644324008315
120500, 9, 72, 0.04631754536490616
121000, 8, 62, 0.05797700218273188
121500, 7, 63, 0.045963476658770624
122000, 7, 57, 0.04693143517658617
122500, 7, 58, 0.04466902323638327
123000, 10, 64, 0.04988602097631104
123500, 7, 60, 0.048680345874361486
124000, 7, 66, 0.045790683517582385
124500, 7, 57, 0.04376658820262009
125000, 9, 66, 0.043604733795027786
125500, 7, 59, 0.04495218194177962
126000, 7, 58, 0.048781646914760834
126500, 8, 58, 0.043532587784985144
127000, 8, 61, 0.04560870938445372
127500, 11, 66, 0.04234610856032467
128000, 8, 65, 0.04236779495442445
128500, 8, 64, 0.048602138972743826
129000, 7, 59, 0.04296094313770517
129500, 7, 58, 0.04322698000965959
130000, 7, 59, 0.05117700509876349
130500, 7, 56, 0.04222725097579573
131000, 8, 61, 0.04367969587693168
131500, 7, 56, 0.04188257706880543
132000, 11, 71, 0.04232678482426211
132500, 7, 56, 0.04200572028134359
133000, 11, 79, 0.045734625716407434
133500, 7, 55, 0.045031220417022934
134000, 7, 56, 0.042032412890081895
134500, 8, 59, 0.04318385631908554
135000, 7, 53, 0.04163341530667636
135500, 7, 56, 0.0413482317686669
136000, 9, 63, 0.041685038443559655
136500, 7, 55, 0.04125609679272809
137000, 7, 54, 0.043059969676565404
137500, 7, 54, 0.04087220242961948
138000, 7, 53, 0.042678320265417895
138500, 8, 59, 0.04140193999651775
139000, 7, 55, 0.04144658274759828
139500, 11, 68, 0.04670394960635099
140000, 7, 55, 0.040010201669266464
140500, 7, 53, 0.04461300145600769
141000, 9, 67, 0.040246423470469556
141500, 7, 53, 0.0393249360008108
142000, 7, 54, 0.05240638000304455
142500, 7, 59, 0.049024085949469984
143000, 7, 59, 0.04373399038847736
143500, 7, 59, 0.03917047051186911
144000, 11, 83, 0.04923270201239457
144500, 7, 57, 0.03938266366621065
145000, 7, 56, 0.039051518359677115
145500, 7, 61, 0.043077110826221954
146000, 7, 57, 0.03974095790420296
146500, 7, 54, 0.041250074804076414
147000, 7, 56, 0.04051847288815222
147500, 9, 61, 0.045002817975191796
148000, 7, 57, 0.03860725441111686
148500, 10, 63, 0.039507543718419746
149000, 7, 57, 0.038701738484349164
149500, 7, 58, 0.03879840986394521
150000, 7, 61, 0.03915298546952312
150500, 8, 62, 0.03864184311191402
151000, 7, 57, 0.044010492784952934
151500, 7, 55, 0.03949868086722339
152000, 7, 58, 0.0382709228789194
152500, 8, 59, 0.038903066018036316
153000, 9, 62, 0.03871039536983633
153500, 11, 130, 0.041993542746472025
154000, 7, 55, 0.03811330130823948
154500, 7, 55, 0.03803125302877573
155000, 8, 58, 0.04274266800344737
155500, 6, 59, 0.0385790601363765
